content;content_preProcessed;translated_content;pos_score;neg_score;obj_score;Classificacao
O gerente decidiu fazer vista grossa em relação ao atraso dos funcionários devido às condições climáticas adversas.;gerent decidiu fazer vista grossa relacao ao atraso do funcionario devido condico climatica adversa;The manager decided to turn a blind eye to the delay of employees due to adverse weather conditions.;0.0;0.0;1.0;Medo
Ele sempre parece fazer pouco caso das opiniões alheias, o que causa desentendimentos frequentes.;sempr parec fazer da opinio alheia causa desentendimento frequent;He always seems to make little case of the opinions of others, which causes frequent disagreements.;0.041666666666666664;0.20833333333333334;0.75;Raiva
A exploração cuidadosa dos recursos naturais é crucial para proteger o meio ambiente.;exploracao cuidadosa do recurso naturai crucial proteg meio ambient;Careful exploitation of natural resources is crucial to protecting the environment.;0.0;0.0;1.0;Alegria
A falta de comunicação só serviu para exacerbar a tensão entre os dois países.;falta de comunicacao so serviu exacerbar tensao entr doi pais;The lack of communication only served to exacerbate the tension between the two countries.;0.03125;0.03125;0.9375;Tristeza
Por favor, evite estorvar os outros passageiros com sua bagagem no corredor.;favor evit estorvar passageiro bagagem no corredor;Please avoid hindering the other passengers with your luggage in the hallway.;0.0;0.0;1.0;Alegria
Ele decidiu se inscrever em aulas de pintura para aprimorar suas técnicas.;decidiu inscrev aula de pintura aprimorar tecnica;He decided to enroll in painting classes to improve his techniques.;0.0;0.0;1.0;Alegria
A janela embaçada dificultava a visão do motorista durante a tempestade;janela embacada dificultava visao do motorista durant tempestad;The blurred window made the driver's view difficult during the storm;0.0;0.0;1.0;Repugnancia
O detetive astuto conseguiu encurralar o suspeito na beira do penhasco.;detet astuto conseguiu encurralar suspeito na beira do penhasco;The cunning detective managed to corner the suspect on the edge of the cliff.;0.0625;0.0;0.9375;Raiva
Ela está determinada a aperfeiçoar suas habilidades musicais a cada dia.;determinada aperfeicoar habilidad musicai cada dia;She is determined to improve her musical skills every day.;0.125;0.0;0.875;Alegria
O atendente foi extremamente amável e prestativo durante a nossa visita.;atendent foi extremament amavel prestativo durant visita;The attendant was extremely kind and helpful during our visit.;0.0;0.0;1.0;Alegria
O escândalo político abalou a confiança dos cidadãos nas autoridades.;escandalo politico abal confianca do cidadao na autoridad;The political scandal shook citizens' confidence in the authorities.;0.0;0.025;0.975;Repugnancia
A discórdia entre os membros da equipe afetou negativamente o projeto.;discordia entr membro da equip afet negativament projeto;Discord among team members negatively affected the project.;0.0;0.125;0.875;Repugnancia
O comportamento devasso do vizinho causou desconforto na comunidade.;comportamento devasso do vizinho causou desconforto na comunidad;The debauchery of the neighbor caused discomfort in the community.;0.03125;0.0625;0.90625;Repugnancia
O passeio pela cidade antiga foi incrivelmente aprazível e relaxante.;passeio pela cidad antiga foi incrivelment aprazivel relaxant;The old city tour was incredibly pleasant and relaxing.;0.0;0.0;1.0;Alegria
Ele teve que desviar do tráfego intenso para chegar a tempo à reunião.;teve desviar do trafego intenso chegar tempo reuniao;He had to dodge intense traffic to arrive in time to the meeting.;0.0;0.125;0.875;Alegria
Sempre que precisar, pode contar comigo para apoiar suas decisões.;sempr precisar pode contar comigo apoiar deciso;Whenever you need it, you can count on me to support your decisions.;0.041666666666666664;0.041666666666666664;0.9166666666666666;Alegria
Sentir um profundo alívio após superar um desafio é gratificante.;sentir profundo alivio apo superar desafio gratificant;Feeling deep relief after overcoming a challenge is rewarding.;0.25;0.125;0.625;Alegria
Ela prometeu nunca mais se deixar enganar por falsas promessas.;prometeu mai deixar enganar falsa promessa;She promised never to be fooled by false promises.;0.0;0.0;1.0;Raiva
A equipe fez um trabalho apreciável na conclusão do projeto.;equip fez trabalho apreciavel na conclusao do projeto;The team did an appreciable job in completing the project.;0.0;0.0;1.0;Alegria
A aliança entre as nações fortaleceu a paz mundial.;alianca entr naco fortaleceu paz mundial;The alliance between nations has strengthened world peace.;0.03125;0.0;0.96875;Alegria
